"Date","Weight (kg)","Fat mass (%)","Lean mass (%)","Comments"
"2015-04-23 12:13 PM","67.91","16.67","83.33",""
"2015-04-22 8:43 AM","67.91","15.69","84.31",""
"2015-04-21 8:31 AM","67.99","16.59","83.41",""
"2015-04-20 8:43 AM","67.88","16.07","83.93",""
"2015-04-19 1:04 PM","68.04","16.6","83.4",""
"2015-04-18 11:17 AM","67.1","16.66","83.34",""
"2015-04-17 11:26 AM","67.16","16.29","83.71",""
"2015-04-16 8:36 AM","67.69","15.89","84.11",""
"2015-04-15 8:48 AM","67.99","16.18","83.82",""
"2015-04-14 9:24 AM","67.53","15.77","84.23",""
"2015-04-13 8:36 AM","67.41","16.08","83.92",""
"2015-04-12 3:07 PM","68.13","16.05","83.95",""
"2015-04-11 11:50 AM","67.7","16.5","83.5",""
"2015-04-10 9:29 AM","67.07","16.32","83.68",""
"2015-04-10 12:58 AM","67.6","","",""
"2015-04-09 9:28 AM","67.56","15.86","84.14",""
"2015-04-08 9:05 AM","67.19","16.41","83.59",""
"2015-04-07 9:16 AM","67.22","15.41","84.59",""
"2015-04-06 10:41 PM","68.17","15.53","84.47",""
"2015-04-03 6:27 AM","67.45","15.97","84.03",""
"2015-04-02 9:14 AM","66.22","15.18","84.82",""
"2015-04-01 8:39 AM","66.69","15.31","84.69",""
